id type n n_class size degree factor typeWeight n_p p m shift seed
1025 puboi 14 2 "4,10" "2.000000,1" 1.338266 0 4 "0.222020,0.431338,0.114116,0.232526" 5 1 1000
1026 puboi 14 2 "4,10" "2.000000,1" 1.048136 0 4 "0.106264,0.098183,0.217372,0.578181" 5 1 1000
1027 puboi 14 2 "4,10" "2.000000,1" 1.394046 0 4 "0.373965,0.324740,0.002965,0.298329" 5 1 1000
1028 puboi 14 2 "4,10" "2.000000,1" 1.493410 0 4 "0.189815,0.135548,0.005742,0.668895" 5 1 1000
1029 puboi 14 2 "4,10" "2.000000,1" 1.205985 0 4 "0.115386,0.198632,0.600387,0.085594" 5 1 1000
1030 puboi 14 2 "4,10" "2.000000,1" 1.211691 0 4 "0.783815,0.103958,0.094694,0.017533" 5 1 1000
1031 puboi 14 2 "4,10" "2.000000,1" 1.161026 0 4 "0.401852,0.272700,0.279866,0.045583" 5 1 1000
1032 puboi 14 2 "4,10" "2.000000,1" 1.314143 0 4 "0.089291,0.018283,0.388723,0.503703" 5 1 1000
1033 puboi 14 2 "4,10" "2.000000,1" 1.374262 0 4 "0.367405,0.025068,0.517574,0.089953" 5 1 1000
1034 puboi 14 2 "4,10" "2.000000,1" 1.001636 0 4 "0.238006,0.210680,0.395976,0.155338" 5 1 1000
1035 puboi 14 2 "4,10" "2.000000,1" 1.379770 0 4 "0.033854,0.516188,0.071197,0.378761" 5 1 1000
1036 puboi 14 2 "4,10" "2.000000,1" 1.227277 0 4 "0.171613,0.642952,0.160785,0.024649" 5 1 1000
1037 puboi 14 2 "4,10" "2.000000,1" 1.192715 0 4 "0.072635,0.714978,0.155760,0.056628" 5 1 1000
1038 puboi 14 2 "4,10" "2.000000,1" 1.115831 0 4 "0.476989,0.020615,0.055994,0.446401" 5 1 1000
1039 puboi 14 2 "4,10" "2.000000,1" 1.290615 0 4 "0.146701,0.344182,0.029852,0.479264" 5 1 1000
1040 puboi 14 2 "4,10" "2.000000,1" 1.065234 0 4 "0.483335,0.081771,0.309072,0.125822" 5 1 1000
1041 puboi 14 2 "4,10" "2.000000,1" 1.117707 0 4 "0.037905,0.164337,0.470253,0.327504" 5 1 1000
1042 puboi 14 2 "4,10" "2.000000,1" 1.294942 0 4 "0.542136,0.118489,0.096338,0.243036" 5 1 1000
1043 puboi 14 2 "4,10" "2.000000,1" 1.048472 0 4 "0.253565,0.525804,0.079201,0.141429" 5 1 1000
1044 puboi 14 2 "4,10" "2.000000,1" 1.432394 0 4 "0.387895,0.036921,0.149833,0.425351" 5 1 1000
1045 puboi 14 2 "4,10" "2.000000,1" 1.319451 0 4 "0.353333,0.317900,0.304438,0.024328" 5 1 1000
1046 puboi 14 2 "4,10" "2.000000,1" 1.442344 0 4 "0.414536,0.242181,0.054215,0.289068" 5 1 1000
1047 puboi 14 2 "4,10" "2.000000,1" 1.237520 0 4 "0.249942,0.032358,0.709626,0.008075" 5 1 1000
1048 puboi 14 2 "4,10" "2.000000,1" 1.055392 0 4 "0.103637,0.146812,0.312676,0.436875" 5 1 1000
1049 puboi 14 2 "4,10" "2.000000,1" 1.132227 0 4 "0.092361,0.053564,0.842560,0.011515" 5 1 1000
